S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
-0.00,2.50,2.11,0.25,0.00,0.00,0.00354,0.00204,0.00031,0.00000,0.001474888
0.04,2.28,2.33,0.25,0.00,0.00,0.00129,0.00136,0.00047,0.00000,0.000780760
0.00,2.23,2.25,0.25,0.00,0.00,0.00166,0.00057,0.00037,0.00000,0.000648355
0.08,2.22,2.17,0.25,0.00,0.00,0.00216,0.00137,0.00029,0.00000,0.000953168
0.01,2.18,2.27,0.25,0.00,0.00,0.00124,0.00059,0.00038,0.00000,0.000553598
0.00,2.09,2.32,0.25,0.00,0.00,0.00075,0.00092,0.00040,0.00000,0.000516787
0.09,2.04,2.27,0.25,0.00,0.00,0.00079,0.00055,0.00036,0.00000,0.000425380
0.16,2.07,2.35,0.25,0.00,0.00,0.00056,0.00169,0.00046,0.00000,0.000677798
0.06,1.98,2.19,0.25,0.00,0.00,0.00119,0.00099,0.00027,0.00000,0.000611568
0.07,2.01,2.23,0.25,0.00,0.00,0.00109,0.00071,0.00030,0.00000,0.000523752
0.09,2.02,2.29,0.25,0.00,0.00,0.00072,0.00055,0.00035,0.00000,0.000405467
0.13,2.02,2.33,0.25,0.00,0.00,0.00051,0.00128,0.00042,0.00000,0.000551285
0.06,2.03,2.30,0.25,0.00,0.00,0.00059,0.00091,0.00039,0.00000,0.000470943
0.08,2.00,2.27,0.25,0.00,0.00,0.00072,0.00055,0.00035,0.00000,0.000405467
0.10,2.02,2.29,0.25,0.00,0.00,0.00072,0.00055,0.00035,0.00000,0.000405467
0.08,2.02,2.30,0.25,0.00,0.00,0.00052,0.00090,0.00039,0.00000,0.000452907
0.09,2.02,2.29,0.25,0.00,0.00,0.00072,0.00055,0.00035,0.00000,0.000405467
0.09,2.03,2.29,0.25,0.00,0.00,0.00079,0.00055,0.00036,0.00000,0.000425380
0.09,2.02,2.29,0.25,0.00,0.00,0.00072,0.00055,0.00035,0.00000,0.000405467
0.09,2.02,2.29,0.25,0.00,0.00,0.00072,0.00055,0.00035,0.00000,0.000405467
0.09,2.02,2.29,0.25,0.00,0.00,0.00072,0.00055,0.00035,0.00000,0.000405467
0.09,2.02,2.29,0.25,0.00,0.00,0.00072,0.00055,0.00035,0.00000,0.000405467
0.60,0.40,1.50,0.25,0.00,0.00,0.00315,0.00464,0.00006,0.00000,0.001962950
0.63,0.40,1.50,0.25,0.00,0.00,0.00315,0.00464,0.00006,0.00000,0.001962950
0.60,0.42,1.50,0.25,0.00,0.00,0.00315,0.00464,0.00006,0.00000,0.001962950
0.60,0.40,1.58,0.25,0.00,0.00,0.00305,0.00448,0.00005,0.00000,0.001896410
0.62,0.38,1.55,0.25,0.00,0.00,0.00310,0.00457,0.00006,0.00000,0.001932198
0.58,0.39,1.58,0.25,0.00,0.00,0.00305,0.00448,0.00005,0.00000,0.001896410
0.60,0.38,1.64,0.25,0.00,0.00,0.00296,0.00432,0.00004,0.00000,0.001831005
0.60,0.37,1.71,0.25,0.00,0.00,0.00284,0.00412,0.00004,0.00000,0.001750683
0.57,0.39,1.69,0.25,0.00,0.00,0.00288,0.00419,0.00004,0.00000,0.001779200
0.60,0.38,1.74,0.25,0.00,0.00,0.00280,0.00404,0.00004,0.00000,0.001720033
0.61,0.38,1.81,0.25,0.00,0.00,0.00258,0.00367,0.00005,0.00000,0.001574855
0.59,0.36,1.90,0.25,0.00,0.00,0.00237,0.00332,0.00007,0.00000,0.001440128
0.58,0.34,2.06,0.25,0.00,0.00,0.00171,0.00218,0.00015,0.00000,0.001009868
0.62,0.34,2.03,0.25,0.00,0.00,0.00182,0.00237,0.00014,0.00000,0.001083138
0.61,0.34,2.23,0.25,0.00,0.00,0.00085,0.00070,0.00028,0.00000,0.000459665
0.61,0.32,2.49,0.25,0.00,0.00,0.00167,0.00348,0.00060,0.00000,0.001439072
0.60,0.29,2.40,0.25,0.00,0.00,0.00087,0.00206,0.00048,0.00000,0.000851563
0.57,0.31,2.43,0.25,0.00,0.00,0.00112,0.00251,0.00052,0.00000,0.001036593
0.58,0.32,2.33,0.25,0.00,0.00,0.00053,0.00124,0.00040,0.00000,0.000544722
0.61,0.29,2.58,0.25,0.00,0.00,0.00264,0.00519,0.00075,0.00000,0.002143620
0.59,0.33,2.19,0.25,0.00,0.00,0.00102,0.00099,0.00026,0.00000,0.000566173
0.58,0.36,2.10,0.25,0.00,0.00,0.00146,0.00174,0.00019,0.00000,0.000848783
0.59,0.34,2.17,0.25,0.00,0.00,0.00117,0.00126,0.00024,0.00000,0.000666288
